2D signal (scaled to L and XS), Muon channel, low edge of bin values given for x and y axes
Mass (GeV), Disc, nEvent
116.0, 0.0933, 0.0
116.0, 0.0978, 0.0
116.0, 0.102, 0.0
116.0, 0.107, 0.0
116.0, 0.111, 0.0
116.0, 0.116, 0.0
116.0, 0.12, 0.0
116.0, 0.124, 0.0
116.0, 0.129, 0.0
116.0, 0.133, 0.0
116.0, 0.138, 0.0
116.0, 0.142, 0.0
116.0, 0.147, 0.0
116.0, 0.151, 0.0
116.0, 0.156, 0.0
116.0, 0.16, 0.0
116.0, 0.164, 0.0
116.0, 0.169, 0.0
116.0, 0.173, 0.0
116.0, 0.178, 0.0
116.0, 0.182, 0.0
116.0, 0.187, 0.0
116.0, 0.191, 0.0
116.0, 0.196, 0.0
118.0, 0.0, 0.00126749824489
118.0, 0.00444, 0.00389916122651
118.0, 0.00889, 0.00373966478786
118.0, 0.0133, 0.00733361470442
118.0, 0.0178, 0.00541802171373
118.0, 0.0222, 0.00982551291342
118.0, 0.0267, 0.0070749063159
118.0, 0.0311, 0.0105167961038
118.0, 0.0356, 0.0216706783123
118.0, 0.04, 0.0261162024349
118.0, 0.0444, 0.0213624233007
118.0, 0.0489, 0.0168142982065
118.0, 0.0533, 0.0192965728888
118.0, 0.0578, 0.0178813680762
118.0, 0.0622, 0.01916013736
118.0, 0.0667, 0.0184309109845
118.0, 0.0711, 0.0172256437718
118.0, 0.0756, 0.00873524241548
118.0, 0.08, 0.00720455244198
118.0, 0.0844, 0.00434344226713
118.0, 0.0889, 0.00164264213469
118.0, 0.0933, 0.0017968241647
118.0, 0.0978, 0.0
118.0, 0.102, 0.0
118.0, 0.107, 0.0
118.0, 0.111, 0.0
118.0, 0.116, 0.0
118.0, 0.12, 0.0
118.0, 0.124, 0.0
118.0, 0.129, 0.0
118.0, 0.133, 0.0
118.0, 0.138, 0.0
118.0, 0.142, 0.0
118.0, 0.147, 0.0
118.0, 0.151, 0.0
118.0, 0.156, 0.0
118.0, 0.16, 0.0
118.0, 0.164, 0.0
118.0, 0.169, 0.0
118.0, 0.173, 0.0
118.0, 0.178, 0.0
118.0, 0.182, 0.0
118.0, 0.187, 0.0
118.0, 0.191, 0.0
118.0, 0.196, 0.0
120.0, 0.0, 0.00740132868762
120.0, 0.00444, 0.00938846428485
120.0, 0.00889, 0.012829871874
120.0, 0.0133, 0.0124802431945
120.0, 0.0178, 0.0191169746157
120.0, 0.0222, 0.0174157822603
120.0, 0.0267, 0.0226675857201
120.0, 0.0311, 0.0304638214853
120.0, 0.0356, 0.0346067361261
120.0, 0.04, 0.0274398667433
120.0, 0.0444, 0.033106072533
120.0, 0.0489, 0.0403326686672
120.0, 0.0533, 0.0328537934601
120.0, 0.0578, 0.0346768429279
120.0, 0.0622, 0.0314541859854
120.0, 0.0667, 0.0352372770514
120.0, 0.0711, 0.0342526148771
120.0, 0.0756, 0.0221550465899
120.0, 0.08, 0.0302491255104
120.0, 0.0844, 0.0163559198124
120.0, 0.0889, 0.0218637327112
120.0, 0.0933, 0.0205339117085
120.0, 0.0978, 0.0102521627488
120.0, 0.102, 0.00780837365422
120.0, 0.107, 0.00306297307687
120.0, 0.111, 0.000945591870999
120.0, 0.116, 0.0
120.0, 0.12, 0.0
120.0, 0.124, 0.0
120.0, 0.129, 0.0
120.0, 0.133, 0.0
120.0, 0.138, 0.0
120.0, 0.142, 0.0
120.0, 0.147, 0.0
120.0, 0.151, 0.0
120.0, 0.156, 0.0
120.0, 0.16, 0.0
120.0, 0.164, 0.0
120.0, 0.169, 0.0
120.0, 0.173, 0.0
120.0, 0.178, 0.0
120.0, 0.182, 0.0
120.0, 0.187, 0.0
120.0, 0.191, 0.0
120.0, 0.196, 0.0
122.0, 0.0, 0.0118915700631
122.0, 0.00444, 0.0254936061445
122.0, 0.00889, 0.0243734785185
122.0, 0.0133, 0.0219520369751
122.0, 0.0178, 0.0326608980902
122.0, 0.0222, 0.0306901038593
122.0, 0.0267, 0.0524258386665
122.0, 0.0311, 0.0422047990303
